postcode,state,latitude,longitude,localities
4513,QLD,-27.09964,152.87874,5
4514,QLD,-26.92130,152.73785,15
4515,QLD,-26.86339,152.52903,12
4516,QLD,-27.00554,152.95724,1
4517,QLD,-26.95108,152.98765,1
4518,QLD,-26.90243,152.98603,1
4519,QLD,-26.84939,152.91803,4
4520,QLD,-27.31751,152.81343,18
4521,QLD,-27.16977,152.78617,8
4550,QLD,-26.81208,152.97135,2
4551,QLD,-26.81815,153.09382,22
4552,QLD,-26.73431,152.76690,16
4553,QLD,-26.77180,153.01796,5
4554,QLD,-26.73169,152.96504,2
4555,QLD,-26.69170,152.95452,4
4556,QLD,-26.70038,153.04978,6
4557,QLD,-26.68632,153.11342,2
4558,QLD,-26.65507,153.07537,7
4559,QLD,-26.66324,152.96501,4
4560,QLD,-26.63509,152.91738,22
4561,QLD,-26.53149,152.96481,7
4562,QLD,-26.50586,152.80309,6
4563,QLD,-26.42575,152.90921,8
4564,QLD,-26.61236,153.07924,4
4565,QLD,-26.16751,153.04251,10
4566,QLD,-26.41173,153.04742,4
4567,QLD,-26.40860,153.09696,5
4568,QLD,-26.31399,152.87661,3
4569,QLD,-26.33457,152.82284,1
4570,QLD,-26.15383,152.61694,89
4571,QLD,-26.21974,152.93188,3
4572,QLD,-26.67159,153.10200,1
4573,QLD,-26.51419,153.06857,8
4574,QLD,-26.63037,152.76113,6
4575,QLD,-26.74204,153.11948,9
4580,QLD,-25.89100,152.92899,3
4581,QLD,-25.84163,153.10744,8
4600,QLD,-26.05510,152.22108,5
4601,QLD,-26.14500,152.01241,10
4605,QLD,-26.11700,151.87697,21
4606,QLD,-26.26117,151.82308,9
4608,QLD,-26.35256,151.74134,5
4610,QLD,-26.57690,151.52257,28
4611,QLD,-26.17672,151.77601,2
4612,QLD,-26.00464,151.58981,5
4613,QLD,-26.27977,151.33890,11
4614,QLD,-26.84833,151.96467,3
4615,QLD,-26.65956,152.01043,19
4620,QLD,-25.55705,152.28087,10
4621,QLD,-25.53583,152.04280,11
4625,QLD,-25.56762,151.64853,34
4626,QLD,-25.75828,151.12293,20
4627,QLD,-25.35018,150.77866,10
4630,QLD,-24.86067,150.97550,24
4650,QLD,-25.64189,152.78580,56
4655,QLD,-25.33984,152.79231,29
4659,QLD,-25.26628,152.56868,8
4660,QLD,-25.18930,152.30097,25
4662,QLD,-25.34721,152.59878,1
4670,QLD,-24.87955,152.29274,57
4671,QLD,-25.07653,151.78638,36
4673,QLD,-24.72964,152.08882,4
4674,QLD,-24.68850,151.87253,9
4676,QLD,-24.63232,151.62196,2
4677,QLD,-24.31847,151.72774,8
4678,QLD,-24.14690,151.63429,4
4680,QLD,-23.47847,151.86616,50
4694,QLD,-23.80670,151.11578,4
4695,QLD,-23.80712,150.96586,7
4697,QLD,-23.71136,150.81952,1
4699,QLD,-23.65789,150.64317,2
4700,QLD,-23.18017,150.95811,12
4701,QLD,-23.35594,150.55565,24
4702,QLD,-23.43826,150.67772,106
4703,QLD,-23.07456,150.89433,34
4704,QLD,-23.13574,150.38116,2
4705,QLD,-22.77175,149.71921,5
4706,QLD,-22.58087,149.67538,1
4707,QLD,-22.51501,149.23551,3
4709,QLD,-23.05965,148.42916,1
4710,QLD,-23.25722,150.82635,2
4711,QLD,-23.25253,150.47623,2
4712,QLD,-23.69521,149.67373,1
4713,QLD,-24.11414,149.43096,1
4714,QLD,-23.66268,150.39491,18
4715,QLD,-24.39362,150.45869,11
4716,QLD,-24.48347,150.80605,2
4717,QLD,-23.63282,148.89133,1
4718,QLD,-24.67505,149.61503,9
4719,QLD,-24.99957,150.21377,6
4720,QLD,-23.63223,148.17893,3
4721,QLD,-22.55462,147.32155,13
4722,QLD,-24.34076,147.79774,10
